"","word","POS","logfreq","nmorph","ico","fun"
"1375","profile","Noun",2.81822589361396,"1",NA,2.090909091
"1376","shell","Noun",2.82930377283102,"1",0.928571428571429,2.71875
"1377","core","Noun",2.70070371714502,"1",-0.0909090909090909,1.783783784
"1378","mall","Noun",2.98452731334379,"1",NA,2.105263158
"1379","combat","Noun",2.8494194137969,"1",NA,1.740740741
"1380","sack","Noun",2.81954393554187,"1",1.5,NA
"1381","pillow","Noun",2.76492298464989,"1",0.466666667,2.941176471
"1382","divine","Adjective",2.77451696572855,"1",-0.214285714285714,NA
"1383","boom","Noun",3.04649516433471,"1",3.84615384615385,2.829268293
"1384","bloke","Noun",2.37839790094814,"1",NA,3.8
"1385","hostage","Noun",2.87157293554588,"1",NA,1.710526316
"1386","bush","Noun",2.85793526471943,"1",0.25,NA
"1387","lightning","Noun",2.85853719756964,"1",2.2,NA
"1388","motel","Noun",2.96754797621886,"1",NA,2.210526316
"1389","monk","Noun",2.57634135020579,"1",NA,2.838709677
"1390","chapter","Noun",2.78175537465247,"1",NA,2
"1391","coffin","Noun",2.66464197555613,"1",-0.6,1.891891892
"1392","dope","Noun",2.91434315711944,"1",NA,3.194444444
"1393","shield","Noun",2.6222140229663,"1",1.9,2.142857143
"1394","rifle","Noun",2.87157293554588,"1",0,NA
"1395","weed","Noun",2.77887447200274,"1",1.7,3.128205128
"1396","needle","Noun",2.78461729263288,"1",NA,2.032258065
"1397","lap","Noun",2.83758843823551,"1",NA,2.709677419
"1398","dive","Verb",2.81624129999178,"1",1.57142857142857,2.139534884
"1399","prick","Noun",2.85793526471943,"1",2.64285714285714,3.325
"1400","grade","Noun",3.17435059747938,"1",0.615384615384615,1.53125
"1401","bitter","Adjective",2.75511226639507,"1",1.30769230769231,2.179487179
"1402","comedy","Noun",2.78031731214015,"1",1,NA
"1403","spoil","Verb",2.77378644498119,"1",NA,2.125
"1404","jam","Noun",2.8394780473742,"1",0.571428571428571,2.696969697
"1405","phase","Noun",2.79934054945358,"1",NA,1.870967742
"1406","blanket","Noun",2.82151352840477,"1",0.117647059,2
"1407","compare","Verb",2.63042787502502,"1",NA,2.228571429
"1408","deaf","Adjective",2.87040390527903,"1",0.142857142857143,1.53125
"1409","shave","Verb",2.84695532501982,"1",NA,2.033333333
"1410","toss","Verb",2.80140371001736,"1",NA,2.216216216
"1411","luggage","Noun",2.75434833571102,"1",NA,2.172413793
"1412","groom","Noun",2.60205999132796,"1",NA,2.083333333
"1413","drill","Noun",2.84633711212981,"1",0.909090909090909,NA
"1414","dough","Noun",2.90902085421116,"1",0.5,2.208333333
"1415","pan","Noun",2.7979596437372,"1",1.2,2.318181818
"1416","blonde","Adjective",2.85186960072977,"1",-0.166666666666667,3.121212121
"1417","log","Noun",2.78604121024255,"1",NA,2.230769231
"1418","sec","Noun",2.9434945159061,"1",NA,2.4375
"1419","zoo","Noun",2.84323277809801,"1",1.538461538,2.666666667
"1420","pump","Noun",2.81023251799508,"1",2.36363636363636,2.684210526
"1421","complaint","Noun",2.71516735784846,"1",NA,1.678571429
"1422","pit","Noun",2.82930377283102,"1",NA,2.366666667
"1423","fleet","Noun",2.73319726510657,"1",-0.5,2.25
"1424","liquor","Noun",2.94596070357757,"1",1.09090909090909,2.707317073
"1425","theme","Noun",2.85186960072977,"1",0.0666666666666667,2.189189189
"1426","polish","Noun",2.69372694892365,"1",0.333333333333333,2.578947368
"1427","shove","Verb",2.82930377283102,"1",NA,2.46875
"1428","gig","Noun",2.75739602879302,"1",NA,2.96875
"1429","chin","Noun",2.81157500587059,"1",1.333333333,NA
"1430","shark","Noun",2.88366143515362,"1",NA,2.171428571
"1431","parade","Noun",2.81822589361396,"1",0.5,2.575757576
"1432","buzz","Unclassified",2.91115760873998,"1",3.69230769230769,NA
"1433","coma","Noun",2.79726754083072,"1",NA,1.636363636
"1434","pill","Noun",2.78103693862113,"1",0.3,2.166666667
"1435","fraud","Noun",2.71011736511182,"1",NA,1.906976744
"1436","quote","Verb",2.68930885912362,"1",NA,2.342105263
"1437","brick","Noun",2.7160033436348,"1",1.25,NA
"1438","fame","Noun",2.64542226934909,"1",NA,2.4
"1439","lust","Noun",2.45484486000851,"1",NA,2.823529412
"1440","content","Noun",2.5910646070265,"1",-0.923076923076923,2.703703704
"1441","conflict","Noun",2.64836001098093,"1",NA,1.861111111
"1442","moron","Noun",2.87794695162919,"1",NA,3.175
"1443","display","Noun",2.63948648926859,"1",NA,2.536585366
"1444","inn","Noun",2.63245729218472,"1",0.5,2.125
"1445","gross","Adjective",2.89209460269048,"1",NA,2.179487179
"1446","insult","Verb",2.80617997398389,"1",0.833333333333333,1.916666667
"1447","cattle","Noun",2.82930377283102,"1",-1.1,2.066666667
"1448","pulse","Noun",3.07954300740291,"1",2.41666666666667,1.923076923
"1449","hunger","Noun",2.47856649559384,"1",NA,1.923076923
"1450","lamb","Noun",2.73479982958885,"1",0.416666667,2.2
"1451","whistle","Noun",2.89707700320942,"1",2.15384615384615,NA
"1452","coin","Noun",2.69722934275972,"1",0.4,NA
"1453","nut","Noun",2.90200289135073,"1",1.28571428571429,3.346153846
"1454","soap","Noun",2.88986172125819,"1",0.214285714,NA
"1455","flame","Noun",2.66464197555613,"1",NA,2.393939394
"1456","nap","Noun",2.81023251799508,"1",1.272727273,2.5
"1457","bureau","Noun",2.75511226639507,"1",-1.4,2.115384615
"1458","tool","Noun",2.73957234445009,"1",0.538461538461538,2.697674419
"1459","slut","Noun",2.76342799356294,"1",NA,2.8
"1460","alpha","Noun",2.61804809671209,"1",NA,2.35483871
"1461","strip","Noun",2.90363251608424,"1",2.4,NA
"1462","vessel","Noun",2.67942789661212,"1",NA,2.142857143
"1463","sorrow","Noun",2.54530711646582,"1",NA,1.470588235
